category_type,asin,title,imgUrl,productURL,stars,reviews,price,listPrice,category_id,isBestSeller,boughtInLastMonth
Others,B08DX9DNSJ,EPSON T822 DURABrite Ultra Ink High Capacity Black & Standard Color Cartridge Combo Pack (T822XL-BCS) for select Epson WorkForce Pro Printers,https://m.media-amazon.com/images/I/71ZxHxLM3WL._AC_UL320_.jpg,https://www.amazon.com/dp/B08DX9DNSJ,4.6,0,69.7,74.45,76,false,6000
Others,B08T5WPC53,AINOPE USB C to USB C Charger Cable 60W 2-Pack 6.6ft Type C Charging Cable Cord Right Angle Fast Charging USBC to USBC Cable for iPhone 15 Pro Max Plus Samsung S23 Note 20 iPad Pro Air Mini MacBook,https://m.media-amazon.com/images/I/81fPmde23VL._AC_UL320_.jpg,https://www.amazon.com/dp/B08T5WPC53,4.6,0,8.99,9.99,76,false,0
Others,B0B7NV73PJ,"SanDisk 256GB Ultra microSDXC UHS-I Memory Card with Adapter - Up to 150MB/s, C10, U1, Full HD, A1, MicroSD Card - SDSQUAC-256G-GN6MA",https://m.media-amazon.com/images/I/51G0OYpkCYL._AC_UL320_.jpg,https://www.amazon.com/dp/B0B7NV73PJ,4.7,0,19.99,32.99,76,false,0
Others,B00LJO8EQS,"Brother Genuine High Yield Toner Cartridge, TN660, Replacement Black Toner, Page Yield Up to 2,600 Pages, Amazon Dash Replenishment Cartridge",https://m.media-amazon.com/images/I/71xkxHWNTIL._AC_UL320_.jpg,https://www.amazon.com/dp/B00LJO8EQS,4.7,0,58.48,0,76,false,7000
Others,B0C1FZWT8M,"Mac Book Pro Charger, 100W USB C Charger, Anker Compact and Foldable Fast Charger for MacBook Pro, MacBook Air, Samsung Galaxy, iPad Pro, and All USB C Devices, 5 ft USB C to USB C Cable Included",https://m.media-amazon.com/images/I/61jmGDyJesL._AC_UL320_.jpg,https://www.amazon.com/dp/B0C1FZWT8M,4.6,0,37.99,0,76,false,0
Others,B0BW8LQKL4,"Stylus Pen for iPad, 13 mins Fast Charging Apple iPad Pencil with Palm Rejection, Tilt Sensitivity, Work for 2018-2022 iPad Air 3/4/5, iPad Mini 5/6, iPad 6/7/8/9/10, iPad Pro 11"", iPad Pro 12.9""",https://m.media-amazon.com/images/I/51jd6JrnPrL._AC_UL320_.jpg,https://www.amazon.com/dp/B0BW8LQKL4,4.5,0,19.99,0,76,false,0
Others,B07XYY6Q34,"Anker iPhone Fast Charging Cable - 6ft Nylon USB-C to Lightning Cord, MFi Certified for iPhone 13, 13 Pro, 12 Pro Max, 12, 11, X, XS, XR, 8 Plus, AirPods Pro, Power Delivery Support (Black)",https://m.media-amazon.com/images/I/518m5yA4CuL._AC_UL320_.jpg,https://www.amazon.com/dp/B07XYY6Q34,4.8,0,11.99,0,76,false,0
Others,B09D7G1YT6,iPhone 14 13 12 Fast Charger【Apple MFi Certified】 20W PD USB C Wall Charger 2-Pack 6FT Cable Fasting Charging Adapter Compatible with iPhone 14 Pro Max/13 Pro Max/12 Pro Max/11 Pro Max/XS Max/XS/XR/X,https://m.media-amazon.com/images/I/61tZ-gQp1RL._AC_UL320_.jpg,https://www.amazon.com/dp/B09D7G1YT6,4.4,0,9.99,19.99,76,false,0
Others,B00L1G7OMO,"HP 62XL Tri-color High-yield Ink | Works with HP ENVY 5540, 5640, 5660, 7640 Series, HP OfficeJet 5740, 8040 Series, HP OfficeJet Mobile 200, 250 Series | Eligible for Instant Ink | C2P07AN",https://m.media-amazon.com/images/I/71sL0NcSfHS._AC_UL320_.jpg,https://www.amazon.com/dp/B00L1G7OMO,4.7,0,0,0,76,false,7000
Others,B09KCDP6F1,Hiipoo Sublimation Ink for EcoTank Supertank Inkjet Printer ET-2400 ET-2720 ET-2760 ET-2800 ET-2803 ET-2830 ET-4800 ET-3760 ET-2850 ET-7720 ET-15000 /Upgrade Version/Offer Free ICC Printing,https://m.media-amazon.com/images/I/713IsJRxHtL._AC_UL320_.jpg,https://www.amazon.com/dp/B09KCDP6F1,4.8,0,32.99,39.99,76,true,9000
